Score,Year,Grade,Subject,Group
304,2015,6th,ELA,All Students
302,2015,6th,ELA,All Students
304,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
307,2015,6th,ELA,All Students
309,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
300,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
368,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
352,2015,6th,ELA,All Students
362,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
320,2015,6th,ELA,Potential HO
317,2015,6th,ELA,Potential HO
329,2015,6th,ELA,Potential HO
273,2015,6th,ELA,Potential HO
320,2015,6th,ELA,Potential HO
278,2015,6th,ELA,Potential HO
306,2015,6th,ELA,Potential HO
306,2015,6th,ELA,Potential HO
314,2015,6th,ELA,Potential HO
291,2015,6th,ELA,Potential HO
311,2015,6th,ELA,Potential HO
303,2015,6th,ELA,Potential HO
323,2015,6th,ELA,Potential HO
323,2015,6th,ELA,Potential HO
320,2015,6th,ELA,Holdover
308,2015,6th,ELA,Holdover
303,2015,6th,ELA,Holdover
320,2015,6th,ELA,Holdover
314,2015,6th,ELA,Holdover
324,2015,6th,ELA,Holdover
335,2015,6th,ELA,Holdover
338,2015,6th,ELA,Holdover
291,2015,6th,ELA,Holdover
297,2015,6th,ELA,Holdover
335,2015,6th,ELA,Holdover
297,2015,6th,ELA,Holdover
324,2015,6th,ELA,Holdover
311,2015,6th,ELA,Holdover
321,2015,6th,ELA,Holdover
303,2016,7th,ELA,All Students
278,2016,7th,ELA,All Students
269,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
303,2016,7th,ELA,All Students
295,2016,7th,ELA,All Students
298,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
303,2016,7th,ELA,All Students
316,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
305,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
293,2016,7th,ELA,All Students
300,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
295,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
311,2016,7th,ELA,All Students
311,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
316,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
305,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
316,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
303,2016,7th,ELA,All Students
295,2016,7th,ELA,All Students
300,2016,7th,ELA,All Students
305,2016,7th,ELA,All Students
308,2016,7th,ELA,All Students
280,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
316,2016,7th,ELA,All Students
